numero,id_voie,lon,lat,appartement,valeur_locative
9,29082_3eeoia,-4.016461,48.745373,1,0
10,29082_3eeoia,-4.015927,48.745234,1,0
11,29082_3eeoia,-4.016575,48.745401,1,0
12,29082_3eeoia,-4.015892,48.745355,1,0
13,29082_3eeoia,-4.016666,48.745412,1,0
14,29082_3eeoia,-4.016101,48.745277,1,0
15,29082_3eeoia,-4.016679,48.745558,1,0
16,29082_3eeoia,-4.016204,48.745347,1,0
17,29082_3eeoia,-4.016688,48.745519,1,0
18,29082_3eeoia,-4.016258,48.745521,1,0
19,29082_3eeoia,-4.016759,48.745455,1,0
20,29082_3eeoia,-4.015367,48.745591,4,0
21,29082_3eeoia,-4.016777,48.74543,1,0
22,29082_3eeoia,-4.016425,48.745628,1,0
24,29082_3eeoia,-4.016545,48.745587,4,0
25,29082_3eeoia,-4.016952,48.745442,1,0
26,29082_3eeoia,-4.016566,48.745671,1,0
27,29082_3eeoia,-4.01707,48.745464,2,0
28,29082_3eeoia,-4.016673,48.74573,1,0
29,29082_3eeoia,-4.017031,48.745619,1,0
30,29082_3eeoia,-4.016767,48.745764,4,0
32,29082_3eeoia,-4.016847,48.745736,1,0
33,29082_3eeoia,-4.017289,48.745536,1,0
34,29082_3eeoia,-4.016878,48.745791,6,0
35,29082_3eeoia,-4.017335,48.745405,1,0
36,29082_3eeoia,-4.017076,48.745723,1,0
37,29082_3eeoia,-4.017408,48.745318,1,0
38,29082_3eeoia,-4.017031,48.745789,1,0
40,29082_3eeoia,-4.016994,48.745908,1,0
41,29082_3eeoia,-4.017865,48.745489,1,0
42,29082_3eeoia,-4.016871,48.745978,2,0
43,29082_3eeoia,-4.017536,48.745365,1,0
44,29082_3eeoia,-4.016669,48.746352,1,0
45,29082_3eeoia,-4.017631,48.745341,1,0
47,29082_3eeoia,-4.017687,48.745308,1,0
49,29082_3eeoia,-4.017772,48.745282,1,0
1,29082_e3lajf,-4.032556,48.744798,1,0
2,29082_e3lajf,-4.0312,48.744975,1,0
3,29082_e3lajf,-4.031868,48.744288,1,0
4,29082_e3lajf,-4.031127,48.745044,1,0
6,29082_e3lajf,-4.030681,48.745265,1,0
8,29082_e3lajf,-4.030485,48.745184,1,0
10,29082_e3lajf,-4.030386,48.745194,1,0
1,29082_dxjgo5,-4.017704,48.744076,1,0
2,29082_dxjgo5,-4.01762,48.744216,1,0
3,29082_dxjgo5,-4.017718,48.744247,1,0
4,29082_dxjgo5,-4.017349,48.744335,1,0
7,29082_dxjgo5,-4.017867,48.744533,1,0
11,29082_dxjgo5,-4.01841,48.744793,1,0
13,29082_dxjgo5,-4.018523,48.74459,1,0
14,29082_dxjgo5,-4.017655,48.74439,1,0
16,29082_dxjgo5,-4.017696,48.744483,1,0
18,29082_dxjgo5,-4.01773,48.744526,1,0
20,29082_dxjgo5,-4.017789,48.744629,1,0
21,29082_dxjgo5,-4.018249,48.743885,1,0
22,29082_dxjgo5,-4.018026,48.744796,1,0
23,29082_dxjgo5,-4.018583,48.744264,1,0
25,29082_dxjgo5,-4.018601,48.744324,1,0
26,29082_dxjgo5,-4.017594,48.744982,1,0
27,29082_dxjgo5,-4.018621,48.74444,1,0
28,29082_dxjgo5,-4.017456,48.745053,1,0
